Hospital,CCN,State,453,454,455,456,457,458,459,460,471,472,473,Hospital_Normalized,Average_Base_Rate,Positive_DRG_Count,CMS_Hospital_Name,CMS_State,CMS_City,CMS_Star_Rating,CMS_Normalized_Name,CMS_Match_Method,CMS_Name_Match_Score,Blue_Distinction,Blue_Distinction_Type,BCBS_Matched_Name,BCBS_Match_Score,BCBS_Match_Method
Encompass Health Rehabilitation Hospital Of Austin,673054,TX,0,0,0,0,0,0,0,0,0,0,0,ENCOMPASS HEALTH REHABILITATION HOSPITAL AUSTIN,0.0,0,,,,,,No match,85.7,No,,Texas Health Hospital Frisco,69.8,Fuzzy name
Accel Rehabilitation Hospital,673055,TX,0,0,0,0,0,0,0,0,0,0,0,ACCEL REHABILITATION HOSPITAL,0.0,0,,,,,,No match,80.0,No,,DOCTORS HOSPITAL AT RENAISSANCE,59.6,Fuzzy name
Pam Rehabilitation Hospital Of Victoria,673056,TX,0,0,0,0,0,0,0,0,0,0,0,PAM REHABILITATION HOSPITAL VICTORIA,0.0,0,,,,,,No match,80.0,No,,PHYSICIANS SURGICAL HOSPITALS LLC,55.1,Fuzzy name
Warm Springs Rehabilitation Hospital Of Kyle,673057,TX,0,0,0,0,0,0,0,0,0,0,0,WARM SPRINGS REHABILITATION HOSPITAL KYLE,0.0,0,,,,,,No match,80.0,No,,PHYSICIANS SURGICAL HOSPITALS LLC,56.8,Fuzzy name
Baylor Scott & White Institute For Rehabilitation - Lakeway,673058,TX,0,0,0,0,0,0,0,0,0,0,0,BAYLOR SCOTT AND WHITE INSTITUTE FOR REHABILITATION LAKEWAY,0.0,0,,,,,,No match,77.2,No,,Bs&W Surgical Hospital Fort Worth,45.8,Fuzzy name
"Laredo Rehabilitation Hospital, Llc",673059,TX,0,0,0,0,0,0,0,0,0,0,0,LAREDO REHABILITATION HOSPITAL LLC,0.0,0,,,,,,No match,80.0,No,,DOCTORS HOSPITAL AT RENAISSANCE,61.3,Fuzzy name
Texas Rehabilitation Hospital Of Arlington,673060,TX,0,0,0,0,0,0,0,0,0,0,0,TEXAS REHABILITATION HOSPITAL ARLINGTON,0.0,0,,,,,,No match,80.0,No,,USMD Hospital at Arlington LP,81.8,Fuzzy name
Pam Rehabilitation Hospital Of Clear Lake,673061,TX,0,0,0,0,0,0,0,0,0,0,0,PAM REHABILITATION HOSPITAL CLEAR LAKE,0.0,0,,,,,,No match,80.0,No,,Midland Memorial Hospital,57.1,Fuzzy name
Clearsky Rehabilitation Hospital Of Weatherford,673062,TX,0,0,0,0,0,0,0,0,0,0,0,CLEARSKY REHABILITATION HOSPITAL WEATHERFORD,0.0,0,,,,,,No match,80.0,No,,DOCTORS HOSPITAL AT RENAISSANCE,55.6,Fuzzy name
Trustpoint Rehabilitation Hospital Of Lubbock,673063,TX,0,0,0,0,0,0,0,0,0,0,0,TRUSTPOINT REHABILITATION HOSPITAL LUBBOCK,0.0,0,,,,,,No match,80.0,No,,PHYSICIANS SURGICAL HOSPITALS LLC,53.3,Fuzzy name
"Chi St. Joseph Health Rehabilitation Hospital, An Affiliate Of Encompa",673065,TX,0,0,0,0,0,0,0,0,0,0,0,CHI ST JOSEPH HEALTH REHABILITATION HOSPITAL AN AFFILIATE ENCOMPA,0.0,0,,,,,,No match,86.6,No,,Texas Health Hospital Frisco,69.8,Fuzzy name
Encompass Health Rehabilitation Hospital Of Pearland,673066,TX,0,0,0,0,0,0,0,0,0,0,0,ENCOMPASS HEALTH REHABILITATION HOSPITAL PEARLAND,0.0,0,,,,,,No match,80.0,No,,Texas Health Hospital Frisco,69.8,Fuzzy name
Pam Rehabilitation Hospital Of Corpus Christi,673067,TX,0,0,0,0,0,0,0,0,0,0,0,PAM REHABILITATION HOSPITAL CORPUS CHRISTI,0.0,0,,,,,,No match,80.0,No,,DOCTORS HOSPITAL AT RENAISSANCE,60.0,Fuzzy name
Pam Health Rehabilitation Hospital Of Sugar Land Llc,673068,TX,0,0,0,0,0,0,0,0,0,0,0,PAM HEALTH REHABILITATION HOSPITAL SUGAR LAND LLC,0.0,0,,,,,,No match,80.0,No,,Texas Health Hospital Frisco,69.8,Fuzzy name
Pam Rehabilitation Hospital Of Round Rock,673069,TX,0,0,0,0,0,0,0,0,0,0,0,PAM REHABILITATION HOSPITAL ROUND ROCK,0.0,0,,,,,,No match,80.0,No,,USMD Hospital at Arlington LP,62.5,Fuzzy name
South Plains Rehabilitation Hospital An Affiliate Of Umc And Encompass,673070,TX,0,0,0,0,0,0,0,0,0,0,0,SOUTH PLAINS REHABILITATION HOSPITAL AN AFFILIATE UMC AND ENCOMPASS,0.0,0,,,,,,No match,80.0,No,,BS&W TEXAS SPINE & JOINT HOSPITAL,51.1,Fuzzy name
Encompass Health Rehabilitation Hospital Of Katy,673071,TX,0,0,0,0,0,0,0,0,0,0,0,ENCOMPASS HEALTH REHABILITATION HOSPITAL KATY,0.0,0,,,,,,No match,80.0,No,,Texas Health Hospital Frisco,69.8,Fuzzy name
Pam Health Rehabilitation Hospital Of Houston Heights,673072,TX,0,0,0,0,0,0,0,0,0,0,0,PAM HEALTH REHABILITATION HOSPITAL HOUSTON HEIGHTS,0.0,0,,,,,,No match,80.0,No,,HOUSTON METHODIST HOSPITAL,76.2,Fuzzy name
Everest Rehabilitation Hospital Longview,673073,TX,0,0,0,0,0,0,0,0,0,0,0,EVEREST REHABILITATION HOSPITAL LONGVIEW,0.0,0,,,,,,No match,80.0,No,,HOUSTON METHODIST HOSPITAL,54.5,Fuzzy name
Everest Rehabilitation Hospital Temple,673074,TX,0,0,0,0,0,0,0,0,0,0,0,EVEREST REHABILITATION HOSPITAL TEMPLE,0.0,0,,,,,,No match,80.0,No,,DOCTORS HOSPITAL AT RENAISSANCE,57.6,Fuzzy name
Pam Health Rehabilitation Hospital Of El Paso,673075,TX,0,0,0,0,0,0,0,0,0,0,0,PAM HEALTH REHABILITATION HOSPITAL EL PASO,0.0,0,,,,,,No match,80.0,No,,Texas Health Hospital Frisco,69.8,Fuzzy name
Clearsky Rehabilitation Hospital Of Flower Mound Llc,673076,TX,0,0,0,0,0,0,0,0,0,0,0,CLEARSKY REHABILITATION HOSPITAL FLOWER MOUND LLC,0.0,0,,,,,,No match,80.0,No,,TX Hlth Presby Hosp Flower Mound,59.3,Fuzzy name
Texas Rehabilitation Hospital Of Keller,673077,TX,0,0,0,0,0,0,0,0,0,0,0,TEXAS REHABILITATION HOSPITAL KELLER,0.0,0,,,,,,No match,80.0,No,,TEXAS ORTHOPEDIC HOSPITAL,71.8,Fuzzy name
"Shannon Rehabilitation Hospital, An Affiliate Of Encompass Health",673078,TX,0,0,0,0,0,0,0,0,0,0,0,SHANNON REHABILITATION HOSPITAL AN AFFILIATE ENCOMPASS HEALTH,0.0,0,,,,,,No match,80.0,No,,Texas Health Hospital Frisco,69.8,Fuzzy name
Encompass Health Rehabilitation Hospital Of Waco,673079,TX,0,0,0,0,0,0,0,0,0,0,0,ENCOMPASS HEALTH REHABILITATION HOSPITAL WACO,0.0,0,,,,,,No match,80.0,No,,Texas Health Hospital Frisco,69.8,Fuzzy name
Aspire Behavioral Health Of Conroe Llc,067093,TX,8155,8847,9182,7838,7735,7851,6584,7267,6523,6491,6226,ASPIRE BEHAVIORAL HEALTH CONROE LLC,7518.090909090909,11,,,,,,No match,85.7,No,,TX Health Presby Hosp Rockwall,52.3,Fuzzy name
Methodist Hospital| Stone Oak Rehab,067055,TX,13389,12864,13406,13174,13807,14271,13110,13876,13178,13343,13324,METHODIST HOSPITAL STONE OAK REHAB,13431.09090909091,11,METHODIST HOSPITAL,TX,SAN ANTONIO,4.0,METHODIST HOSPITAL,Exact/fuzzy hospital name,100.0,No,,HOUSTON METHODIST HOSPITAL,81.8,Fuzzy name
