BCBS_Hospital_Name,BCBS_State,BCBS_Designation,BCBS_Page,BCBS_Source_Row,BCBS_Normalized_Name
Svmc Holdings,CT,BDC+,7,Svmc Holdings | 2800 Main St | Bridgeport | CT | 06606-4201 | BDC+ | No | Hospital,SVMC HOLDINGS
William W. Backus Hospital,CT,BDC+,7,William W. Backus Hospital | 326 Washington St | Norwich | CT | 06360-2740 | BDC+ | No | Hospital,WILLIAM W BACKUS HOSPITAL
Yale New Haven Hospital St Raphael Campus,CT,BDC,7,Yale New Haven Hospital St Raphael Campus | 1450 Chapel St | New Haven | CT | 06511 | BDC | Yes | Hospital,YALE NEW HAVEN HOSPITAL ST RAPHAEL CAMPUS
Adventhealth Altamonte Springs,FL,BDC,7,Adventhealth Altamonte Springs | 601 E Altamonte Dr | Altamonte Springs | FL | 32701 | BDC | No | Hospital,ADVENTHEALTH ALTAMONTE SPRINGS
Adventhealth Carrollwood,FL,BDC,7,Adventhealth Carrollwood | 7171 N Dale Mabry Hwy | Tampa | FL | 33614 | BDC | No | Hospital,ADVENTHEALTH CARROLLWOOD
Adventhealth Fish Memorial,FL,BDC,7,Adventhealth Fish Memorial | 1055 Saxon Blvd | Orange City | FL | 32763 | BDC | No | Hospital,ADVENTHEALTH FISH MEMORIAL
Adventhealth Winter Garden,FL,BDC,7,Adventhealth Winter Garden | 2000 FOWLER GROVE BLVD | Winter Garden | FL | 34787 | BDC | No | Hospital,ADVENTHEALTH WINTER GARDEN
AdventHealth Apopka,FL,BDC,7,AdventHealth Apopka | 201 N Park Ave | Apopka | FL | 32703 | BDC | No | Hospital,ADVENTHEALTH APOPKA
ADVENTHEALTH CELEBRATION,FL,BDC,7,ADVENTHEALTH CELEBRATION | 400 CELEBRATION PL | Celebration | FL | 34747 | BDC | No | Hospital,ADVENTHEALTH CELEBRATION
Ascension Sacred Heart Hospital Emerald Coast,FL,BDC+,7,Ascension Sacred Heart Hospital Emerald Coast | 7800 US Highway 98 W | Miramar Beach | FL | 32550 | BDC+ | Yes | Hospital,ASCENSION SACRED HEART HOSPITAL EMERALD COAST
Ascension Sacred Heart Pensacola,FL,BDC+,7,Ascension Sacred Heart Pensacola | 5151 N 9Th Ave | Pensacola | FL | 32504 | BDC+ | No | Hospital,ASCENSION SACRED HEART PENSACOLA
Ascension St Vincents Medical Center Riverside,FL,BDC+,7,Ascension St Vincents Medical Center Riverside | 1 Shircliff Way | Jacksonville | FL | 32204 | BDC+ | Yes | Hospital,ASCENSION ST VINCENTS MED CTR RIVERSIDE
Ascension St Vincents Medical Center Southside,FL,BDC+,7,Ascension St Vincents Medical Center Southside | 4201 Belfort Rd | Jacksonville | FL | 32216 | BDC+ | Yes | Hospital,ASCENSION ST VINCENTS MED CTR SOUTHSIDE
Ascension St. Vincent's St. John's County,FL,BDC,7,Ascension St. Vincent's St. John's County | 205 TRINITY WAY | Saint Johns | FL | 32259 | BDC | Yes | Hospital,ASCENSION ST VINCENT S ST JOHN S COUNTY
Boca Raton Regional Hospital Inc,FL,BDC+,7,Boca Raton Regional Hospital Inc | 800 Meadows Rd | Boca Raton | FL | 33486 | BDC+ | Yes | Hospital,BOCA RATON REGIONAL HOSPITAL INC
Cleveland Clinic Florida Health System Nonprofit,FL,BDC+,7,Cleveland Clinic Florida Health System Nonprofit | 3100 Weston Rd | Weston | FL | 33331 | BDC+ | No | Hospital,CLEVELAND CLINIC FLORIDA NONPROFIT
