Page,Table,Row,Extracted_Row
10,1,3,ADVOCATE CONDELL MEDICAL CENTER | 801 S Milwaukee Ave | Libertyville | IL | 60048 | BDC+ | No | Hospital
10,1,4,ADVOCATE GOOD SAMARITAN HOSPITAL | 3815 Highland Ave | Downers Grove | IL | 60515 | BDC+ | No | Hospital
10,1,5,ADVOCATE GOOD SHEPHERD HOSPITAL | 450 W Il Hwy 22 | Barrington | IL | 60010 | BDC+ | No | Hospital
10,1,6,ADVOCATE ILLINOIS MASONIC MED CNT | 836 W Wellington Ave | Chicago | IL | 60657 | BDC | No | Hospital
10,1,7,ADVOCATE LUTHERAN GENERAL HOSP | 1775 Dempster St | Park Ridge | IL | 60068 | BDC+ | No | Hospital
10,1,8,ADVOCATE SHERMAN HOSPITAL | 1425 N Randall Rd | Elgin | IL | 60123 | BDC+ | No | Hospital
10,1,9,ADVOCATE SOUTH SUBURBAN HOSPITAL | 17800 Kedzie Ave | Hazel Crest | IL | 60429 | BDC+ | No | Hospital
10,1,10,ADVOCATE SURGERY CTR LIBERTYVILLE | 825 S Milwaukee Ave | Libertyville | IL | 60048-3218 | BDC+ | No | ASC
10,1,11,ALEXIAN BROTHERS MEDICAL CENTER | 800 Biesterfield Rd | Elk Grove Village | IL | 60007 | BDC+ | No | Hospital
10,1,12,Blessing Hospital | 1005 BROADWAY ST | QUINCY | IL | 62301-2834 | BDC | No | Hospital
10,1,13,Carle Foundation Hosp | 611 W PARK ST | URBANA | IL | 61801-2500 | BDC | No | Hospital
10,1,14,CARLE BROMENN MEDICAL CENTER | 1304 FRANKLIN AVE | NORMAL | IL | 61761-3558 | BDC+ | No | Hospital
10,1,15,CARLE HEALTH METHODIST HOSPITAL | 221 NE Glen Oak Ave | Peoria | IL | 61636 | BDC | No | Hospital
10,1,16,CENTRAL DUPAGE HOSPITAL | 25 N WINFIELD RD | WINFIELD | IL | 60190-1379 | BDC | Yes | Hospital
10,1,17,Copley Memorial Hospital | 2000 OGDEN AVE | AURORA | IL | 60504-7222 | BDC+ | No | Hospital
10,1,18,EDWARD HOSPITAL | 801 S Washington St | Naperville | IL | 60540-7430 | BDC+ | No | Hospital
10,1,19,Endeavor Health Elmhurst Hospital | 155 E Brush Hill Rd | Elmhurst | IL | 60126 | BDC+ | No | Hospital
10,1,20,GOLD COAST SURGICENTER LLC | 845 N Michigan Ave | Chicago | IL | 60611 | BDC | No | ASC
10,1,21,HAWTHORN SURGERY CENTER | 240 Center Dr | Vernon Hills | IL | 60061 | BDC | Yes | ASC
10,1,22,INGALLS MEMORIAL HOSPITAL | 1 Ingalls Dr | Harvey | IL | 60426 | BDC+ | No | Hospital
10,1,23,INSIGHT HOSPITAL MEDICAL CTR CHI | 2525 S Michigan Ave | Chicago | IL | 60616 | BDC | No | Hospital
10,1,24,Loyola University Medical Center | 2160 S 1ST AVE | MAYWOOD | IL | 60153-3328 | BDC+ | No | Hospital
10,2,1,DESIGNATION
10,2,2,TYPE
10,3,1,CONSUMER
10,3,2,TRANSPARENCY1
10,4,1,CENTER
10,4,2,TYPE2
11,1,1,PROVIDER NAME | ADDRESS | CITY | STATE | ZIP CODE | DESIGNATION TYPE | CONSUMER TRANSPARENCY1 | CENTER TYPE2
11,1,2,MIDWEST CENTER FOR DAY SURGERY | 3811 Highland Ave | Downers Grove | IL | 60515 | BDC | No | ASC
11,1,3,Northshore Evanston Hospital | 2650 RIDGE AVE | EVANSTON | IL | 60201-1718 | BDC+ | Yes | Hospital
11,1,4,Northshore Skokie Hospital | 9600 Gross Point Rd | Skokie | IL | 60076 | BDC | No | Hospital
11,1,5,NORTHWESTERN MEMORIAL HOSPITAL | 251 E HURON | CHICAGO | IL | 60611-2908 | BDC | Yes | Hospital
11,1,6,PALOS COMMUNITY HOSPITAL | 12251 S 80Th Ave | Palos Heights | IL | 60463-1290 | BDC+ | No | Hospital
11,1,7,Presence St Marys Hospital | 500 W Court St | Kankakee | IL | 60901 | BDC | Yes | Hospital
11,1,8,PRESENCE ST JOSEPH HOSP ELGIN | 77 N Airlite St | Elgin | IL | 60123 | BDC+ | Yes | Hospital
11,1,9,RIVERSIDE MEDICAL CENTER | 350 N Wall St | Kankakee | IL | 60901-2901 | BDC | No | Hospital
11,1,10,RUSH OAK BROOK SURGERY CENTER | 2011 York Rd Ste 3000 | Oak Brook | IL | 60523 | BDC | No | ASC
11,1,11,RUSH UNIVERSITY MEDICAL CENTER | 1653 W Congress Pkwy | Chicago | IL | 60612-3833 | BDC+ | No | Hospital
11,1,12,Saint Anthony Medical Center | 5666 E STATE ST | ROCKFORD | IL | 61108-2425 | BDC | No | Hospital
11,1,13,SOUTHWEST SURGERY CENTER LLC CNTR | 19110 Darvin Dr | Mokena | IL | 60448 | BDC | Yes | ASC
11,1,14,SPECIALTY SURGICARE LTD | 500 W Golf Rd | Schaumburg | IL | 60195-3503 | BDC | No | ASC
11,1,15,St Alexius Medical Center | 1555 Barrington Rd | Hoffman Estates | IL | 60169 | BDC+ | No | Hospital
11,1,16,SWEDISH COVENANT HOSPITAL | 5145 N California Ave | Chicago | IL | 60625 | BDC | No | Hospital
11,1,17,UCM ADVENTHEALTH HINSDALE | 120 N Oak St | Hinsdale | IL | 60521 | BDC | No | Hospital
11,1,18,UNIVERSITY OF CHICAGO MEDICAL CEN | 5841 S MARYLAND AVE | CHICAGO | IL | 60637-1447 | BDC | Yes | Hospital
11,1,19,Asc Surgical Ventures | 3028 Beacon Parkway | Granger | IN | 46530 | BDC | No | ASC
11,1,20,Ascension St Vincent Hospital | 2001 W 86th St | Indianapolis | IN | 46260-1902 | BDC | No | Hospital
11,1,21,Ascension St Vincent Kokomo | 1907 W Sycamore St | Kokomo | IN | 46901-5148 | BDC | No | Hospital
11,1,22,Baptist Health Floyd | 1850 State St | New Albany | IN | 47150-4990 | BDC | No | Hospital
11,1,23,Beltway Surgery Centers At Methodist Medical Plaza | 151 Pennsylvania Pkwy | Carmel | IN | 46280-1379 | BDC | Yes | ASC
11,2,1,DESIGNATION
11,2,2,TYPE
11,3,1,CONSUMER
11,3,2,TRANSPARENCY1
11,4,1,CENTER
11,4,2,TYPE2
12,1,1,PROVIDER NAME | ADDRESS | CITY | STATE | ZIP CODE | DESIGNATION TYPE | CONSUMER TRANSPARENCY1 | CENTER TYPE2
12,1,2,Community Hospital | 901 Macarthur Blvd | Munster | IN | 46321-2901 | BDC+ | No | Hospital
12,1,3,Community Hospital of Anderson | 1515 N Madison Ave | Anderson | IN | 46011-3453 | BDC | No | Hospital
12,1,4,Community Hospital South | 1402 E County Line Rd | Indianapolis | IN | 46227-0963 | BDC | Yes | Hospital
